Id;number_of_messages;mean_time
4;26;304.730769
7;1;2634.000000
8;29;271.275862
25;33;237.242424
46;3;2191.000000
a0;2;3966.500000
109;4;1948.250000
128;4;1789.750000
181;31;246.838710
182;30;256.266667
201;87;283.482759
202;89;279.101124
204;10;2286.200000
207;21;1052.190476
224;87;282.597701
227;21;1050.476190
247;2;5175.500000
305;21;1058.285714
307;2;5198.000000
308;11;1852.636364
309;4;1182.500000
30a;3;2606.000000
325;21;1060.333333
328;11;1868.454545
32a;3;2595.333333
345;10;2021.100000
348;1;3262.000000
368;11;1919.545455
388;11;1927.181818
3a8;11;1935.363636
3c8;1;3179.000000
421;1;5144.000000
430;6;3070.333333
441;2;5249.500000
461;1;3188.000000
